Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Net Amount,AP Amount,Tax Code Description,Purchase invoice number,URL
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-CQUIN,URGENT CARE,BEDFORD HOSPITAL NHS TRUST,30051579,"1,365.91","1,365.91",OUTSIDE SCOPE,I0174803,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/8195e9ba-5370-5885-a24b-45a0d60f4795
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,MATERNITY SERVICES,BEDFORD HOSPITAL NHS TRUST,30051579,"16,978.76","16,978.76",OUTSIDE SCOPE,I0174803,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/8195e9ba-5370-5885-a24b-45a0d60f4795
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,BEDFORD HOSPITAL NHS TRUST,30051579,"103,592.99","103,592.99",OUTSIDE SCOPE,I0174803,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/8195e9ba-5370-5885-a24b-45a0d60f4795
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,URGENT CARE,BEDFORD HOSPITAL NHS TRUST,30051579,"110,173.67","110,173.67",OUTSIDE SCOPE,I0174803,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/8195e9ba-5370-5885-a24b-45a0d60f4795
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,30051586,130,130,OUTSIDE SCOPE,IC0038822,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/d99e5b55-e179-5880-8570-1049a58f3851
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,30051586,"25,048.00","25,048.00",OUTSIDE SCOPE,IC0038822,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/d99e5b55-e179-5880-8570-1049a58f3851
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,MATERNITY SERVICES,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,73.27,73.27,EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,PLANNED CARE,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,"5,296.99","5,296.99",EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,URGENT CARE,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,"1,978.74","1,978.74",EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,MATERNITY SERVICES,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,"6,210.44","6,210.44",EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,PLANNED CARE,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,"488,058.56","488,058.56",EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,URGENT CARE,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,"152,778.00","152,778.00",EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,30051685,355.83,355.83,OUTSIDE SCOPE,3275653,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/f316d384-f34a-5a23-b20c-11c076b1eb42
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,30051685,"37,917.17","37,917.17",OUTSIDE SCOPE,3275653,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/f316d384-f34a-5a23-b20c-11c076b1eb42
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,PLANNED CARE,BMI HEALTHCARE LTD,30051713,"209,541.01","209,541.01",EXEMPT,118950,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/15eaf7de-429a-5061-a776-cd98b50a305a
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,MATERNITY SERVICES,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,30051756,"1,044.90","1,044.90",OUTSIDE SCOPE,53001457,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1430972_10260248_20191125121648
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,PLANNED CARE,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,30051756,"88,763.09","88,763.09",OUTSIDE SCOPE,53001457,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1430972_10260248_20191125121648
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,URGENT CARE,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,30051756,"44,588.93","44,588.93",OUTSIDE SCOPE,53001457,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1430972_10260248_20191125121648
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,30051770,"39,919.49","39,919.49",OUTSIDE SCOPE,S006963,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/f7b46cbf-fa14-5072-96ed-61a709f77110
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-CQUIN,MATERNITY SERVICES,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,30051774,9.89,9.89,OUTSIDE SCOPE,N0009384,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/ca7c7d96-b1cd-53e1-98a7-fd2e42752033
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-CQUIN,PLANNED CARE,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,30051774,713.6,713.6,OUTSIDE SCOPE,N0009384,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/ca7c7d96-b1cd-53e1-98a7-fd2e42752033
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-CQUIN,URGENT CARE,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,30051774,529.51,529.51,OUTSIDE SCOPE,N0009384,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/ca7c7d96-b1cd-53e1-98a7-fd2e42752033
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,MATERNITY SERVICES,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,30051774,"1,665.44","1,665.44",OUTSIDE SCOPE,N0009384,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/ca7c7d96-b1cd-53e1-98a7-fd2e42752033
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,30051774,"117,673.64","117,673.64",OUTSIDE SCOPE,N0009384,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/ca7c7d96-b1cd-53e1-98a7-fd2e42752033
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,URGENT CARE,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,30051774,"89,170.92","89,170.92",OUTSIDE SCOPE,N0009384,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/ca7c7d96-b1cd-53e1-98a7-fd2e42752033
Department of Health,NHS Milton Keynes CCG,31/12/2019,External Consultancy Fees,COMMISSIONING RESERVE,OPTUM HEALTH SOLUTIONS (UK) LTD,30051844,"30,000.00","36,000.00",STANDARD,1127719,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1432663_10270754_20191125172127
Department of Health,NHS Milton Keynes CCG,31/12/2019,External Consultancy Fees,NON RECURRENT PROGRAMMES,OPTUM HEALTH SOLUTIONS (UK) LTD,30051844,"25,000.00","30,000.00",STANDARD,1127719,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1432663_10270754_20191125172127
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-CQUIN,PLANNED CARE,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,30051963,"1,866.38","1,866.38",OUTSIDE SCOPE,B0001024,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1434375_10281468_20191126163343
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-CQUIN,URGENT CARE,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,30051963,382.27,382.27,OUTSIDE SCOPE,B0001024,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1434375_10281468_20191126163343
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,30051963,"164,238.46","164,238.46",OUTSIDE SCOPE,B0001024,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1434375_10281468_20191126163343
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,URGENT CARE,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,30051963,"33,350.54","33,350.54",OUTSIDE SCOPE,B0001024,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1434375_10281468_20191126163343
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,PLANNED CARE,HORTON HOSPITAL,30052053,"60,803.35","60,803.35",EXEMPT,HORMK201909,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/159f2bcc-993d-55c7-bc3f-b88634e0fb82
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,PLANNED CARE,RAMSAY HEALTH CARE UK T/A BLAKELANDS HOSPITAL,30052061,"281,424.00","281,424.00",EXEMPT,BLAMK201909,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/127fda5f-37f4-5ba9-b4b1-2c1398c379b9
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,NHS 111,DHU 111 (EAST MIDLANDS) CIC,30052098,"31,766.53","38,119.84",STANDARD,SINV01528,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/f82627f6-8784-598b-8b4e-4409c16ec470
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,30052169,"60,663.97","72,796.76",STANDARD,521408,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/b828b952-bad1-58cb-92ce-7bbe01a68661
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RAMSAY HEALTH CARE UK T/A BLAKELANDS HOSPITAL,30072748,"36,761.00","36,761.00",EXEMPT,BLAMKR201901,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/38585556-4522-5549-8893-17764d283803
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,EAST LONDON NHS FOUNDATION TRUST,30072962,"33,410.50","33,410.50",OUTSIDE SCOPE,10436701,http://nww.docserv.wyss.nhs.uk/Inter-NHS/PRD2104F18729810436701.pdf
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Clinical Other,COMMISSIONING - NON ACUTE,NEWPORT PAGNELL MEDICAL CENTRE,30072977,"32,417.75","32,417.75",OUTSIDE SCOPE,5797,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/269f1176-3d4f-5a44-b7ed-467b1f17273d
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RAMSAY HEALTH CARE UK T/A BLAKELANDS HOSPITAL,30114176,"57,205.77","57,205.77",EXEMPT,BLAMKR201812,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/ab98c51b-5d49-5ef9-b256-e8469bde40c9
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,PLANNED CARE,RAMSAY HEALTH CARE UK T/A BLAKELANDS HOSPITAL,30114180,"86,495.39","86,495.39",EXEMPT,BLAMKR201904,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/52d5f7e6-66e7-5b98-9d0b-4e4f22ff5a4f
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,PLANNED CARE,RAMSAY HEALTH CARE UK T/A BLAKELANDS HOSPITAL,30114181,"81,071.82","81,071.82",EXEMPT,BLAMKR201905,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/7451dba8-9169-5160-a9d8-f428a3c26a82
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,30114183,"1,167.42","1,167.42",EXEMPT,5010210212,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/4b309815-d2f6-5b5d-909e-78fe818e2771
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,30114183,"52,718.58","52,718.58",EXEMPT,5010210212,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/4b309815-d2f6-5b5d-909e-78fe818e2771
Department of Health,NHS Milton Keynes CCG,31/12/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,ACORN CARE & EDUCATION LTD,30114187,"52,500.00","52,500.00",EXEMPT,29987,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/141215ee-6621-5660-a450-065832b2b5c3
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,INHEALTH LTD,30114189,"69,433.31","69,433.31",EXEMPT,IHLIN0020057,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1434149_10279140_20191126153644
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,30114190,"58,903.25","58,903.25",OUTSIDE SCOPE,53489326,http://nww.docserv.wyss.nhs.uk/Inter-NHS/PRD2104F105355953489326.pdf
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,30114191,"59,396.00","59,396.00",OUTSIDE SCOPE,53489327,http://nww.docserv.wyss.nhs.uk/Inter-NHS/PRD2104F105355953489327.pdf
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Othe Public Sector,REABLEMENT,NHS BUCKINGHAMSHIRE CCG,30114194,"336,000.00","336,000.00",OUTSIDE SCOPE,7031500201,http://nww.docserv.wyss.nhs.uk/Inter-NHS/PRD2204F53741327031500201.pdf
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,AMBULANCE SERVICES,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,30114195,"892,227.84","892,227.84",EXEMPT,INV0051986,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/b23aa776-b759-55fa-9256-496723db4448
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,PATIENT TRANSPORT,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,30114197,"108,804.26","108,804.26",EXEMPT,INV0051994,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/dde1d7aa-9823-594e-a8a6-39836047acb4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Charges from CSU,OPERATIONS MANAGEMENT,NHS ARDEN AND GEM CSU,30114199,"102,995.76","102,995.76",OUTSIDE SCOPE,7312616353,http://nww.docserv.wyss.nhs.uk/Inter-NHS/PRD2204F13963927312616353.pdf
Department of Health,NHS Milton Keynes CCG,31/12/2019,Charges from CSU,PRIMARY CARE IT,NHS ARDEN AND GEM CSU,30114200,"53,094.34","53,094.34",OUTSIDE SCOPE,7312616354,http://nww.docserv.wyss.nhs.uk/Inter-NHS/PRD2204F13963927312616354.pdf
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,PLANNED CARE,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,30114201,"12,481,748.00","12,481,748.00",OUTSIDE SCOPE,42947994,http://nww.docserv.wyss.nhs.uk/Inter-NHS/PRD2104F18776742947994.pdf
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Othe Public Sector,REABLEMENT,MILTON KEYNES COUNCIL,30114202,"3,924,583.00","3,924,583.00",EXEMPT,4.25001E+11,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1449121_10362617_20191204170133
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Othe Public Sector,WHEELCHAIR SERVICE,MILTON KEYNES COUNCIL,30114203,"496,430.00","496,430.00",EXEMPT,4.25001E+11,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1449121_10362615_20191204170133
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Prior Year,URGENT CARE,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,30114204,"-163,668.65","-163,668.65",OUTSIDE SCOPE,53001964,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1448786_10359716_20191204154019
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Othe Public Sector,REABLEMENT,MILTON KEYNES COUNCIL,30114205,"544,478.00","544,478.00",EXEMPT,4.25001E+11,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1449121_10362616_20191204170133
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KEY MEDICAL SERVICES LTD,30121436,"28,950.93","28,950.93",OUTSIDE SCOPE,BU000026074,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KEY MEDICAL SERVICES LTD,30121436,488.25,488.25,OUTSIDE SCOPE,BU000026074,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KEY MEDICAL SERVICES LTD,30121436,"2,182.94","2,182.94",OUTSIDE SCOPE,BU000026074,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30121438,"43,798.73","43,798.73",OUTSIDE SCOPE,BU000026076,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30121438,580.28,580.28,OUTSIDE SCOPE,BU000026076,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30121438,"2,950.94","2,950.94",OUTSIDE SCOPE,BU000026076,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,WHADDON MEDICAL CENTRE,30134154,"49,930.00","49,930.00",OUTSIDE SCOPE,WMCCAR1219,http://nww.docserv.wyss.nhs.uk/synergyiim/dist/?val=1442125_10332288_20191202123544
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30150049,"88,034.69","88,034.69",OUTSIDE SCOPE,BU000026078,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30150049,"10,630.50","10,630.50",OUTSIDE SCOPE,BU000026078,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30150049,"1,486.17","1,486.17",OUTSIDE SCOPE,BU000026078,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30150049,"12,000.00","12,000.00",OUTSIDE SCOPE,BU000026078,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30150049,"1,400.00","1,400.00",OUTSIDE SCOPE,BU000026078,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PRACTICE SURGERIES LTD,30150049,"4,634.88","4,634.88",OUTSIDE SCOPE,BU000026078,X24N_NHAIS_20191213_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,Clinical&Medical-Independent Sector,NHS 111,DHU 111 (EAST MIDLANDS) CIC,30190195,"56,564.12","67,876.94",STANDARD,SINV01510,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/beefa909-8d40-5b08-b942-ee2fe8993dd7
